participant,age_group,frame,timestamp,true_location,humna_class,human_score_blinks_removed
EX01,adult,257.1906977,8.487293023,0.181818182,Right,1
EX01,adult,258.1953488,8.520446512,0.204545455,Right,1
EX01,adult,259.2,8.5536,0.227272727,Right,1
EX01,adult,260.2046512,8.586753488,0.25,Right,1
EX01,adult,261.2093023,8.619906977,0.272727273,Right,1
EX01,adult,262.2139535,8.653060465,0.295454545,Right,1
EX01,adult,263.2186047,8.686213953,0.318181818,Right,1
EX01,adult,264.2232558,8.719367442,0.340909091,Right,1
EX01,adult,265.227907,8.75252093,0.363636364,Right,1
EX01,adult,266.2325581,8.785674419,0.386363636,Right,1
EX01,adult,267.2372093,8.818827907,0.409090909,Right,1
EX01,adult,268.2418605,8.851981395,0.431818182,Right,1
EX01,adult,269.2465116,8.885134884,0.454545455,Right,1
EX01,adult,270.2511628,8.918288372,0.477272727,Right,1
EX01,adult,271.255814,8.95144186,0.5,Right,1
EX01,adult,272.2604651,8.984595349,0.522727273,Right,1
EX01,adult,273.2651163,9.017748837,0.545454545,Right,1
EX01,adult,274.2697674,9.050902326,0.568181818,Right,1
EX01,adult,275.2744186,9.084055814,0.590909091,Right,1
EX01,adult,276.2790698,9.117209302,0.613636364,Right,1
EX01,adult,277.2837209,9.150362791,0.613636364,Right,1
EX01,adult,278.2883721,9.183516279,0.636363636,Right,1
EX01,adult,279.2930233,9.216669767,0.659090909,Right,1
EX01,adult,280.2976744,9.249823256,0.681818182,Right,1
EX01,adult,281.3023256,9.282976744,0.704545455,Right,1
EX01,adult,282.3069767,9.316130233,0.727272727,Right,1
EX01,adult,283.3116279,9.349283721,0.75,Right,1
EX01,adult,284.3162791,9.382437209,0.772727273,Right,1
EX01,adult,285.3209302,9.415590698,0.795454545,Right,1
EX01,adult,286.3255814,9.448744186,0.818181818,Right,1
EX01,adult,287.3302326,9.481897674,0.840909091,Right,1
EX01,adult,288.3348837,9.515051163,0.863636364,Right,1
EX01,adult,289.3395349,9.548204651,0.886363636,Right,1
EX01,adult,290.344186,9.58135814,0.909090909,Right,1
EX01,adult,291.3488372,9.614511628,0.931818182,Right,1
EX01,adult,292.3534884,9.647665116,0.954545455,Right,1
EX01,adult,293.3581395,9.680818605,0.977272727,Right,1
EX01,adult,294.3627907,9.713972093,1,Right,1
EX01,adult,295.3674419,9.747125581,1,Right,1
EX01,adult,296.372093,9.78027907,1,Right,1
EX01,adult,297.3767442,9.813432558,1,Right,1
EX01,adult,298.3813953,9.846586047,1,Right,1
EX01,adult,299.3860465,9.879739535,1,Right,1
EX01,adult,300.3906977,9.912893023,1,Right,1
EX01,adult,301.3953488,9.946046512,1,Right,1
EX01,adult,302.4,9.9792,1,Right,1
EX01,adult,303.4046512,10.01235349,1,Right,1
EX01,adult,304.4093023,10.04550698,1,Right,1
EX01,adult,305.4139535,10.07866047,1,Right,1
EX01,adult,306.4186047,10.11181395,1,Right,1
EX01,adult,307.4232558,10.14496744,1,Right,1
EX01,adult,308.427907,10.17812093,1,Right,1
EX01,adult,309.4325581,10.21127442,1,Right,1
EX01,adult,310.4372093,10.24442791,1,Right,1
